word,translation,ipa,example,exampleTranslation,level,topic
(by) herself,"сама, в одиночку (она)",/hərˈsɛlf/,She did it by herself.,Она сделала это сама,A2,Местоимения
(by) himself,"сам, в одиночку (он)",/hɪmˈsɛlf/,He lives by himself.,Он живёт один,A2,Местоимения
(by) myself,"сам, в одиночку (я)",/ˌmaɪˈsɛlf/,I cooked by myself.,Я готовил сам,A2,Местоимения
(by) ourselves,"сами, в одиночку (мы)",/ɑrˈsɛlvz/,We did it by ourselves.,Мы сделали это сами,A2,Местоимения
(by) themselves,"сами, в одиночку (они)",/ðɛmˈsɛlvz/,They went by themselves.,Они поехали сами,A2,Местоимения
(by) yourself,"сам, в одиночку (ты)",/ˈjɔrsɛlf/,Do it yourself. / Do it by yourself.,Делай это сам / Сделай это самостоятельно.,A2,Местоимения
(the) most attractive,самый привлекательный,/moʊst əˈtræktɪv/,She's the most attractive.,Она самая привлекательная,A2,Описания
(the) most important,самый важный,/moʊst ˌɪmˈpɔrtənt/,This is the most important.,Это самое важное,A2,Описания
(the) most popular,самый популярный,/moʊst ˈpɑpjələr/,He is the most popular here.,Он самый популярный здесь,A2,Описания
(with) love,с любовью,/ləv/,"Yours with love, Anna.","С любовью, Анна",A2,Общение
a bit,немного,/ə bɪt/,I'm a bit tired.,Я немного устал,A2,Описания
a broken leg,сломанная нога,/ə ˈbroʊkən lɛg/,She has a broken leg.,У неё сломана нога,A2,Тело и здоровье
a change of clothes,смена одежды,/ə ʧeɪnʤ əv kloʊðz/,Bring a change of clothes.,Возьми смену одежды,A2,Одежда
a dance,танец,/ə dæns/,We had a dance at the party.,У нас были танцы на вечеринке,A2,Хобби и спорт
a good time,хорошо провести время,/ə gʊd taɪm/,Did you have a good time?,Ты хорошо провёл время?,A2,Эмоции
a little bit,"немножко, чуть-чуть",/ə ˈlɪtəl bɪt/,I'm a little bit hungry.,Я немного голоден,A2,Описания
a lot,много,/ə lɔt/,I like to read books a lot.,Я очень люблю читать книги.,A1,Описания
a pity,"жалко, жаль",/ə ˈpɪti/,What a pity!,Как жаль!,A2,Общение
a problem,проблема,/ə ˈprɑbləm/,I have a problem.,У меня проблема,A2,Общение
a shame,"жалко, обидно",/ə ʃeɪm/,What a shame that you can't come.,"Как жаль, что ты не можешь прийти",A2,Эмоции
a sheet of glass,лист стекла,/ə ʃit əv glæs/,A sheet of glass broke.,Лист стекла разбился,A2,Описания
a sheet of paper,лист бумаги,/ə ʃit əv ˈpeɪpər/,Give me a sheet of paper.,Дай мне лист бумаги,A2,Описания
a variety of (somebody),разнообразие кого-то,/ə vərˈaɪəti əv ˈsəmˌbɑdi/,A variety of people came.,Пришло много разных людей,A2,Описания
a variety of (something),разнообразие чего-то,/ə vərˈaɪəti əv ˈsəmθɪŋ/,A variety of fruits.,Разнообразные фрукты,A2,Описания
a writer,писатель,/ə ˈraɪtər/,She became a writer.,Она стала писательницей,A2,Профессия
accident,несчастный случай,/ˈæksədənt/,There was a car accident.,Произошла автомобильная авария,A2,Тело и здоровье
achieve,достигать,/əˈtʃiːv/,She achieved her goal.,,B1,Работа
acknowledge,признавать,/əkˈnɒlɪdʒ/,He acknowledged his mistake.,,B2,Абстрактные
across,"через, напротив",/əˈkrɔs/,The shop is across the street.,Магазин через дорогу,A2,Описания
activity,"занятие, мероприятие",/ækˈtɪvɪti/,The kids have many activities.,У детей много занятий,A2,Хобби и спорт
actor,актёр,/ˈæktər/,He is a famous actor.,Он известный актёр,A2,Профессия
actually,на самом деле,/ˈæˌkʧuəli/,"Actually, I don't know.","Вообще-то, я не знаю",A2,Общение
ad,"реклама, объявление",/æd/,I saw an ad on TV.,Я увидел рекламу по телевизору.,A1,Медиа
add — added,"прибавлять, добавлять",/æd/,I add milk to my coffee.,Я добавляю молоко в мой кофе.,A2,Еда
address,адрес,/ˈæˌdrɛs/,What is your home address?,Какой у тебя домашний адрес?,A1,Дом
address,электронный адрес,/ˈæˌdrɛs/,What is your email address?,Какой у тебя адрес электронной почты?,A1,Технологии
adjective,прилагательное,/ˈæʤɪktɪv/,Big is an adjective.,Большой — это прилагательное,A2,Общение
airport,аэропорт,/ˈeəpɔːt/,Meet me at the airport.,Встреть меня в аэропорту,A2,Путешествие
all kinds of (something),все виды чего-то,/ɔl kaɪnz əv ˈsəmθɪŋ/,All kinds of fruit.,Все виды фруктов,A2,Описания
all my love,со всей любовью,/ɔl maɪ ləv/,"All my love, Mom.","Вся моя любовь, мама",A2,Общение
all sorts of (something),всевозможные,/ɔl sɔrts əv ˈsəmθɪŋ/,All sorts of problems.,Всевозможные проблемы,A2,Описания
all the best,всего наилучшего,/ɔl ðə bɛst/,"Good luck, all the best!","Удачи, всего наилучшего!",A2,Общение
all the time,всё время,/ɔl ðə taɪm/,He talks all the time.,Он говорит всё время.,A2,Время
all-inclusive,всё включено,/ɔːl ɪnˈkluːsɪv/,They chose an all-inclusive resort.,,S,Туризм
amenities,удобства,/əˈmiːnɪtiz/,The hotel offers excellent amenities.,,S,Туризм
analyze,анализировать,/ˈænəlaɪz/,Analyze the data carefully.,,B2,Наука
and so on,и так далее,/ənd soʊ ɔn/,"Apples, oranges and so on.","Яблоки, апельсины и так далее",A2,Общение
any,любой,/ˈɛni/,Take any book you like.,"Возьми любую книгу, какую хочешь",A1,Описания
any,какой-нибудь,/ˈɛni/,Do you have any questions?,У тебя есть вопросы?,A1,Описания
any more,больше не... (чего-то),/ˈɛni mɔr/,I don't want any more.,Я не хочу больше,A2,Описания
anybody,"кто-нибудь, никто",/ˈɛnibədi/,Is anybody there?,Есть там кто-нибудь?,A2,Местоимения
anymore,больше не (делаю),/ˌɛniˈmɔr/,I don't live there anymore.,Я там больше не живу,A2,Описания
anyone,"кто-нибудь, никто",/ˈɛniˌwən/,Anyone can do this.,Любой может это сделать,A2,Местоимения
anything,"что-нибудь, ничего",/ˈɛniˌθɪŋ/,Do you need anything?,Тебе что-нибудь нужно?,A1,Вопросительные слова
anything,что угодно,/ˈɛniˌθɪŋ/,I will eat anything.,Я съем что угодно,A1,Местоимения
anyway,"в любом случае, так или иначе",/ˈɛniˌweɪ/,"Anyway, he will make for sure.","В любом случае, у него получится, я уверен.",A2,Общение
anywhere,где угодно,/ˈɛniˌwɛr/,Sit anywhere you like.,Садись где хочешь,A2,Описания
apartment,квартира,/əˈpɑrtmənt/,My apartment is on the fifth floor.,Моя квартира на пятом этаже.,A2,Дом
apartment building,"жилой дом, многоквартирный дом",/əˈpɑrtmənt ˈbɪldɪŋ/,I live in a tall apartment building.,Я живу в высоком многоквартирном доме.,A2,Дом
apple,яблоко,/ˈæpəl/,I eat an apple every day.,Я ем по яблоку каждый день.,A1,Еда
appointment,"запись, приём",/əˈpɔɪntmənt/,I have a doctor's appointment.,У меня запись к врачу,A2,Общение
April,апрель,/ˈeɪprəl/,It rains a lot in April.,В апреле много дождей,A1,Месяцы
area,"район, территория",/ˈɛriə/,This area is quiet.,Этот район тихий,A2,Природа
arm,рука (от плеча до кисти),/ɑrm/,He broke his arm.,Он сломал руку,A1,Тело и здоровье
armchair,кресло,/ˈɑrmˌʧɛr/,Sit in the armchair.,Сиди в кресле.,A2,Дом
around,"где-то, поблизости",/əraʊnd/,Is John around?,Джон поблизости?,A2,Описания
around,"около, вокруг, примерно",/əraʊnd/,Around ten people came.,Пришло около десяти человек,A2,Описания
arrive,"прибывать, приезжать",/əraɪv/,The train arrives at 8.,Поезд прибывает в 8,A2,Транспорт
art,"искусство (живопись, рисование)",/ɑrt/,I love modern art.,Я люблю современное искусство.,A2,Искусство
articulate,чётко выражать,/ɑːˈtɪkjʊleɪt/,She articulates her ideas well.,,C1,Абстрактные
artist,"художник, артист",/ˈɑrtɪst/,She is a great artist.,Она великая художница.,A2,Профессия
as,"как, в качестве (работы)",/ɛz/,She works as a doctor.,Она работает врачом.,A1,Деньги и работа
as,"так как, потому что",/ɛz/,"As it was late, we left.","Так как было поздно, мы ушли",A2,Служебные слова
as ... as,такой же как,/ɛz  ɛz/,He is as tall as me.,"Он такого же роста, как я",A2,Служебные слова
as much,"столько же, так же много",/ɛz məʧ/,I eat as much as you.,"Я ем столько же, сколько и ты",A2,Описания
as soon as possible,как можно скорее,/ɛz sun ɛz ˈpɑsəbəl/,Call me as soon as possible.,Позвони мне как можно скорее,A2,Общение
as usual,как обычно,/ɛz ˈjuʒəwəl/,"She was late, as usual.","Она опоздала, как обычно.",A2,Время
as well,"также, тоже",/ɛz wɛl/,I want to come as well.,Я тоже хочу прийти,A1,Служебные слова
as well as,так же как,/ɛz wɛl ɛz/,She sings as well as dances.,"Она и поёт, и танцует",A1,Служебные слова
as well as,"так же как, а также",/ɛz wɛl ɛz/,She sings as well as dances.,"Она и поёт, и танцует",A2,Служебные слова
ask,спрашивать,/æsk/,Can I ask you a question?,Можно задать тебе вопрос?,A1,Общение
ask,"приглашать, звать",/æsk/,She asked me to her party.,Она пригласила меня на свой праздник.,A2,Общение
at,на (направление),/æt/,Look at the picture.,Посмотри на картинку,A1,Служебные слова
at,собака (@ в e-mail),/æt/,My email is anna at mail dot com.,Мой адрес электронной почты — анна собака мейл точка ком,A1,Служебные слова
at,в (время),/æt/,I wake up at seven.,Я просыпаюсь в семь,A1,Служебные слова
at,"в, на (место)",/æt/,I am at home.,Я дома,A1,Служебные слова
at,"над, из-за, по причине",/æt/,I laughed at the joke.,Я посмеялся над шуткой,A2,Служебные слова
at least,по крайней мере,/æt list/,At least ten students came.,Пришло по крайней мере десять учеников,A2,Описания
at something,из-за чего-то,/æt ˈsəmθɪŋ/,Laugh at a joke.,Смеяться над шуткой,A2,Служебные слова
at the moment,в данный момент,/æt ðə ˈmoʊmənt/,"At the moment, I'm busy.",В данный момент я занят.,A2,Время
attractive,привлекательный,/əˈtræktɪv/,She is very attractive.,Она очень привлекательная.,A2,Люди
August,август,/ˈɔgəst/,August is very hot here.,Август здесь очень жаркий,A1,Месяцы
aunt,тётя,/ɔnt/,My aunt lives in Moscow.,Моя тётя живёт в Москве,A2,Семья
available,"доступный, имеющийся",/əˈveɪləbəl/,These tickets are available.,Эти билеты доступны,A2,Описания
average,"средний, обычный",/ˈævərɪʤ/,He is of average height.,Он среднего роста,A2,Описания
away,далеко от,/əˈweɪ/,The school is five miles away.,Школа в пяти милях отсюда,A2,Описания
awesome,"потрясающий, классный",/ˈɔsəm/,That movie was awesome!,Этот фильм был потрясающим!,A2,Описания
awful,ужасный,/ˈɔfəl/,The weather is awful.,Погода ужасная,A2,Описания
baby,"новорожденный, младенец",/ˈbeɪbi/,The baby is sleeping in his cot.,Младенец спит в своей кроватке.,A1,Семья
baby,"малыш, младенец",/ˈbeɪbi/,The baby is sleeping.,Ребёнок спит,A1,Семья
back,"назад, обратно",/bæk/,I will come back soon.,Я скоро вернусь,A1,Описания
back,в ответ,/bæk/,Call me back later.,Перезвони мне позже,A2,Общение
back,задний,/bæk/,Sit in the back seat.,Сиди на заднем сиденье,A2,Описания
back,спина,/bæk/,My back hurts.,У меня болит спина,A2,Тело и здоровье
backpack,рюкзак,/ˈbækˌpæk/,My backpack is heavy.,Мой рюкзак тяжёлый,A2,Транспорт
bacon,бекон,/ˈbeɪ.kən/,I'd like bacon and eggs for breakfast.,Я бы хотел бекон с яйцами на завтрак.,B1,Еда
bad,"плохой, неприятный",/bæd/,This is bad news.,Это плохие новости,A1,Описания
badly,"сильно, очень",/ˈbædli/,He badly wants to win.,Очень хочет победить,A2,Описания
badminton,бадминтон,/ˈbædˌmɪntən/,We play badminton in summer.,Мы играем в бадминтон летом,A2,Хобби и спорт
bag,сумка,/bæg/,I carry a bag every day.,Я ношу сумку каждый день,A1,Покупки
bake,"печь, выпекать",/beɪk/,I like to bake cookies.,Я люблю печь печенье.,A2,Еда
ball,мяч,/bɔl/,Pass me the ball.,Передай мне мяч,A1,Хобби и спорт
balloon,воздушный шарик,/bəˈlun/,The balloon is red.,Воздушный шар красный,A2,Хобби и спорт
banana,банан,/bəˈnæn.ə/,I buy bananas at the store.,Я покупаю бананы в магазине.,A1,Еда
band,группа (музыкальная),/bænd/,My favorite band is playing tonight.,Моя любимая группа играет сегодня вечером.,A1,Музыка
bandage,"бинт, повязка",/ˈbændɪʤ/,She put a bandage on the cut.,Она наложила повязку на порез,A2,Тело и здоровье
bank,банк,/bæŋk/,The bank opens at nine.,Банк открывается в девять.,A1,Деньги и работа
banking,банковское дело,/ˈbæŋkɪŋ/,Online banking is convenient.,Онлайн-банкинг удобен.,A2,Деньги и работа
bar,бар (место или заведение),/bɑr/,We went to the bar to listen to jazz.,Мы ходили в бар слушать джаз.,A2,Еда
barbecue,барбекю (вечеринка),/ˈbɑr.bɪˌkjuː/,We're having a barbecue on Saturday,В субботу у нас барбекю.,A2,Еда
barbecued,приготовленный на огне,/ˈbɑr.bɪˌkjuːd/,Dan made us some barbecued eggplant.,"Дэн приготовил нам баклажаны на барбекю (огне, гриле, решетке).",B1,Еда
baseball,бейсбол,/ˈbeɪsbɔl/,Baseball is popular in America.,Бейсбол популярен в Америке,A1,Хобби и спорт
basketball,баскетбол,/ˈbæskətˌbɔl/,We play basketball after school.,Мы играем в баскетбол после школы,A1,Хобби и спорт
bat,бита,/bæt/,He hit the ball with a bat.,Он бьёт по мячу битой,A1,Хобби и спорт
"bath, bathed","ванна, купаться",/bæθ/,I take a bath every evening.,Я принимаю ванну каждый вечер.,A1,Действия
bathing suit,купальник,/ˈbeɪðɪŋ sut/,I bought a new bathing suit.,Я купил новый купальник,A2,Одежда
bathroom,ванная комната,/ˈbæθˌrum/,The bathroom is very nice.,Ванная комната очень хорошая.,A1,Дом
battery,"батарея, аккумулятор",/ˈbætəri/,My phone battery is dead.,У моего телефона села батарея,A2,Технологии
"be (am, is, are)","быть, находиться",/bi/,I am at home.,Я дома,A1,Описания
"be (am, is, are)",быть (делающим),/bi/,She is reading.,Она читает,A2,Служебные слова
be ... years old,быть ... лет,/bi  jɪrz oʊld/,I am twenty years old.,Мне двадцать лет.,A1,Люди
be able to do something,быть в состоянии,/bi ˈeɪbəl tɪ du ˈsəmθɪŋ/,I am able to help you.,Я могу помочь тебе,A2,Служебные слова
be bad for somebody,быть вредным для кого-то,/bi bæd fər ˈsəmˌbɑdi/,Smoking is bad for you.,Курение вредно для тебя,A2,Служебные слова
be bad for something,быть вредным для чего-то,/bi bæd fər ˈsəmθɪŋ/,Rain is bad for the trip.,Дождь вреден для поездки,A2,Служебные слова
be born,родиться,/bi bɔrn/,I was born in Moscow.,Я родился в Москве,A2,Общение
be called something,зваться,/bi kɔld ˈsəmθɪŋ/,I prefer to be called Alex.,"Я предпочитаю, чтобы меня называли Алекс.",A1,Общение
be going to do something,собираться что-то делать,/bi goʊɪŋ tɪ du ˈsəmθɪŋ/,I'm going to call her.,Я собираюсь позвонить ей,A2,Служебные слова
be made from,быть сделанным из,/bi meɪd frəm/,Paper is made from wood.,Бумага сделана из дерева,A2,Служебные слова
be something,быть кем-то,/bi ˈsəmθɪŋ/,Become a doctor.,Стань врачом,A2,Служебные слова
be wrong,быть неправым,/bi rɔŋ/,"Sorry, I was wrong.","Извини, я был неправ",A2,Служебные слова
beach,пляж,/biʧ/,We swim at the beach.,Мы купаемся на пляже,A1,Природа
bean,"боб, фасоль",/biːn/,We had rice and beans for dinner.,На ужин у нас был рис с фасолью.,A1,Еда
bear,медведь,/bɛr/,The bear lives in the forest.,Медведь живёт в лесу.,A2,Животные
beard,борода,/bɪrd/,He has a long beard.,У него длинная борода.,A1,Люди
beat,взбивать,/biːt/,Beat the egg whites until they are stiff,Взбивайте белки до устойчивых пиков.,C1,Еда
beautiful,красивый (привлекательный),/ˈbjutəfəl/,She is a beautiful woman.,Она красивая женщина.,A1,Люди
beautiful,"красивый, прекрасный",/ˈbjutəfəl/,What a beautiful day!,Какой прекрасный день!,A1,Описания
because,потому что,/bɪˈkəz/,I am tired because I worked hard.,"Я устал, потому что много работал",A1,Служебные слова
become available,стать доступным,/bɪˈkəm əˈveɪləbəl/,New books become available.,Новые книги становятся доступными,A2,Описания
bed,кровать,/bɛd/,I go to bed at eleven.,Я ложусь спать в одиннадцать.,A1,Дом
bedroom,спальня,/ˈbɛˌdrum/,My bedroom is small.,Моя спальня маленькая.,A1,Дом
beef,говядина,/biːf/,We had roast beef for dinner.,У нас на ужин была жареная говядина,B1,Еда
before,"до, перед",/ˌbiˈfɔr/,Call me before dinner.,Позвони мне до ужина,A1,Служебные слова
before,"раньше, прежде",/ˌbiˈfɔr/,I've been here before.,Я уже был здесь раньше.,A2,Время
before,"раньше, до, перед",/ˌbiˈfɔr/,"Before dinner, we walked.",Перед ужином мы гуляли.,A2,Время
before,перед (место),/ˌbiˈfɔr/,The car stopped before the bridge.,Машина остановилась перед мостом,A2,Описания
